client_id,path,sentence,up_votes,down_votes,age,gender,accent,set
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,f2713195d4853b8e1a9c77c486d7ad8b82f8dcacb4795ea601108c767915759e3a62a4362e78917f7e78a3ce6d2ee9a9a8f252d040fc7a79a968dc150779cd59,Me he de comprar un mÃ³vil nuevo.,2,0,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,1273f6099f14d2216c94330bf24f35d6c907a3f0a61f65026b8cdcd966ccec800fd19f8eee90b35c597779d4bb2e1c3271cc5a2d60e168c9347342601f9e9fa8,y lo mucho que los echaba de menos.,2,0,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,8d73fdfa93d2f4d094e65ce5063f4cd2e19284e0d655fdac6bf94b10061a629832c1f4b9bb99b1eabf48bca799b94b682fd6f891517f4a9580750c0ec0dc1d1c,Como un viaje al cielo para volver.,2,0,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,5e61e289f4cd89c456b84979ea3721b286079729598b4499bb1e5f63ed84260eb9ecaa0c6f976199ace23ab34f378d8b8fdbe884f6dc1c6a4398217053a3700c,nosotros tenemos una amistad muy bonita,2,0,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,277b45132872cc5b24341965ccdc2aa91ed7a3cfb5fd7fddd2ea296fbe734582661c3d8f30eb713a8fca367a466e3acb48fb5f223195f5d518895ec1e849bfe4,La ciudadanÃ­a tiene un comportamiento pÃ©simo en este aspecto.,2,0,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,a245b51b414b1dee94b82dd44b45a3611939d56c6698b2a3e3446f0ed982b548b79397d5fad3e11cff02205fd29e3749516929ef6a023858df61e51860dd61b0,"igual, si me hago el dormido , la noche pasa como si nada.",2,0,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,38f2c1c4527b2abfa4c77fcc08844fe0c804fc69e2ede16a12320bf4aed8ea65fec9547004f6812a66b08ef5a0cb77ed0454f3c4f53b1d377938de09d296b1be,Y bajÃ³ los ojos.,2,0,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,c8e228796a3a81b06366c7a447e5e9b78099b6b5aedb2e5ca1ef0a6e07af403a7dcec86c6a1d73de3a341e69ba7926896b9b42819b32d1604844524f1d0ae893,Â¡ Hay una serpiente en mis botas!,2,1,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,fd714dbd4a917d25093984f7ed8bd247bc5ba4d8421a095ce56ca5602ce798159de77add95074ef90a7b7cba6b9f40d9b527ddb959710a6bec02474e5a798872,Todos los niÃ±os y niÃ±as esperan el verano.,2,0,twenties,male,nortepeninsular,train
d30bb30f90dfe2b1b02f45556a392aebfe63b1621062c7af92debea681e81c7a09a96110760a450b7bb910846bd7dac7674a2653150db7bb29a43ff474f853ea,fb1c98f9c2214f5c6ec6f880a9e910e14bf6308fd30a64b4abec6b61a013a2b271dcedebb749ce8bd5f5a42348023aabab4870b005d106d34a3c3e39aeb8ac92,A las doce concluÃ­a la tarea.,2,0,twenties,male,nortepeninsular,train
